ATM_ID,PREDICT
0,1
1,0
2,0
3,0
4,1
5,1
6,1
7,1
8,1
9,0
10,0
11,0
12,1
13,1
14,0
15,0
16,1
17,1
18,1
19,0
20,1
21,0
22,0
23,1
24,0
25,0
26,1
27,0
28,0
29,0
30,0
31,1
32,1
33,0
34,1
35,1
36,0
37,1
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,1
51,1
52,1
53,0
54,1
55,1
56,1
57,0
58,0
59,0
60,1
61,1
62,0
63,0
64,1
65,0
66,0
67,0
68,1
69,0
70,1
71,0
72,0
73,1
74,1
75,0
76,0
77,1
78,0
79,0
80,1
81,1
82,1
83,0
84,0
85,1
86,0
87,1
88,0
89,0
90,0
91,1
92,0
93,1
94,1
95,0
96,0
97,1
98,0
99,0
100,0
101,0
102,1
103,0
104,1
105,1
106,0
107,0
108,0
109,0
110,0
111,1
112,1
113,0
114,1
115,1
116,0
117,1
118,1
119,0
120,0
121,0
122,1
123,1
124,1
125,0
126,1
127,1
128,1
129,1
130,0
131,1
132,0
133,0
134,0
135,1
136,1
137,1
138,0
139,1
140,0
141,0
142,1
143,0
144,0
145,1
146,1
147,0
148,0
149,1
150,0
151,1
152,1
153,1
154,0
155,0
156,0
157,1
158,1
159,1
160,1
161,1
162,0
163,1
164,0
165,1
166,0
167,1
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,1
178,1
179,0
180,1
181,1
182,1
183,1
184,1
185,1
186,1
187,1
188,0
189,1
190,1
191,0
192,0
193,0
194,0
195,1
196,0
197,1
198,0
199,0
200,0
201,0
202,0
203,0
204,1
205,0
206,1
207,0
208,0
209,0
210,1
211,0
212,1
213,1
214,1
215,1
216,1
217,0
218,1
219,1
220,1
221,1
222,1
223,1
224,0
225,1
226,1
227,0
228,1
229,1
230,1
231,1
232,1
233,1
234,1
235,0
236,0
237,1
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,1
246,0
247,1
248,0
249,0
250,1
251,1
252,0
253,0
254,1
255,0
256,1
257,0
258,0
259,1
260,1
261,1
262,1
263,0
264,1
265,0
266,1
267,0
268,1
269,0
270,1
271,1
272,0
273,1
274,0
275,1
276,0
277,1
278,1
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,1
289,1
290,0
291,1
292,1
293,0
294,0
295,0
296,0
297,1
298,1
299,1
300,1
301,1
302,1
303,0
304,0
305,1
306,0
307,0
308,0
309,0
310,1
311,1
312,0
313,0
314,1
315,1
316,0
317,0
318,1
319,0
320,1
321,0
322,1
323,1
324,1
325,0
326,1
327,1
328,0
329,1
330,0
331,0
332,1
333,1
334,0
335,1
336,1
337,1
338,0
339,1
340,1
341,0
342,1
343,1
344,1
345,1
346,1
347,1
348,0
349,1
350,0
